unit_id,source_claim_id_or_ids,source_relation_text,source_relation_type,evidence_class,scope_or_evidence_universe,environment_or_active_factor,fixed_conditions,evidence_object,number_of_units_or_cells,statistic_computed,decision_rule,formal_outcome,is_Wilson_formal_yes_no,is_Wilson_diagnostic_yes_no,if_non_Wilson_can_row_level_Wilson_be_computed_yes_no_unknown,if_row_level_Wilson_possible_what_rows_or_cells,what_exactly_was_audited,what_is_the_evidence_boundary,confidence,human_review_needed_yes_no,notes
EX-C1,ext_2202_14025v1_legacy_claim12,"candidate compiler faster (compilation runtime), A>B",scalar_directional,exact_proxy_free,connectivity-stress circuits (Benchpress family),L1 opt-level x timing rep (4x4x5),"comparator, metric",matched_cells,80 cells,"k/N=80/80, Wilson CI",Wilson interval-boundary (tau=0.95),Sustained,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'candidate compiler faster (compilation runtime), A>B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C2,ext_2411_00518v2_claim1,"QAOA approximation ratio higher, A>B",scalar_directional,exact_proxy_free,QAOA instances,ALGO copula depth (16x5),"comparator, metric",matched_cells,80 cells,"k/N=80/80, Wilson CI",Wilson interval-boundary (tau=0.95),Sustained,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'QAOA approximation ratio higher, A>B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C3,ext_2304_08814v2_claim5,"TKET lower CNOT count than Qiskit, A<B",scalar_directional,exact_proxy_free,PauliOpt circuit family,L1 opt-level x seed (4x4x5),"comparator, metric, L2/L3",matched_cells,80 cells,"k/N=62/80, Wilson CI",Wilson interval-boundary (tau=0.95),Unresolved,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'TKET lower CNOT count than Qiskit, A<B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C4,ext_2411_00518v2_claim3,"QAOA probability value higher, A>B (aggregate-trace)",scalar_directional,exact_proxy_free,QAOA instances,ALGO optimizer x copula depth (5x8x2),"comparator, metric",matched_cells,80 cells,"k/N=45/80, Wilson CI",Wilson interval-boundary (tau=0.95),Unresolved,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'QAOA probability value higher, A>B (aggregate-trace)' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C5,ext_2409_08844v2_claim4,"TKET lower two-qubit-gate depth than Qiskit, A<B",scalar_directional,exact_proxy_free,Benchpress circuit family,L1 opt-level x seed (4x4x5),"comparator, metric, L2/L3",matched_cells,80 cells,"k/N=44/80, Wilson CI",Wilson interval-boundary (tau=0.95),Unresolved,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'TKET lower two-qubit-gate depth than Qiskit, A<B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C6,ext_2202_14025v1_legacy_claim6,"Qiskit CX-depth overhead vs Pytket, A>B",scalar_directional,exact_proxy_free,Benchpress circuit family,scope joined with seed x L1 (4x20),"comparator, metric",matched_cells,80 cells,"k/N=34/80, Wilson CI",Wilson interval-boundary (tau=0.95),Unresolved,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'Qiskit CX-depth overhead vs Pytket, A>B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C7,ext_2409_08844v2_claim3,"Qiskit lower two-qubit gate count than Tket, A<B",scalar_directional,exact_proxy_free,4 connectivity-stress circuits,L1 opt-level x seed (4x4x5),"comparator, metric, L2/L3",matched_cells,80 cells,"k/N=0/80, Wilson CI",Wilson interval-boundary (tau=0.95),Reversed,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'Qiskit lower two-qubit gate count than Tket, A<B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
EX-C8,ext_2409_08844v2_claim1,"Cirq lower pre-compilation construction time than Qiskit, A<B",scalar_directional,exact_proxy_free,Benchpress circuit family,timing rep (4x20),"comparator, metric",matched_cells,80 cells,"k/N=0/80, Wilson CI",Wilson interval-boundary (tau=0.95),Reversed,yes,no,n/a (already cell-level),the 80 matched cells,"direction preservation of 'Cirq lower pre-compilation construction time than Qiskit, A<B' over 80","audited cells, metric, tau=0.95; L2/L3 fixed or metric-irrelevant per card",high,no,
SD1,ext_2007_15671v1_claim4 (Table 3),"OLSQ lower CX count than tket, per instance, A<B",scalar_directional,source_materialized,22 OLSQ Table-3 instances,source-fixed (reported rows; no rerun),tket version per source; construction/exec fixed,source_rows,22 rows,"k/N=16/22 (6 ties), Wilson [0.518,0.868]",Wilson interval-boundary,Unresolved,yes,no,n/a (is row-level),the 22 Table-3 instances,per-instance direction preservation from the source's own reported counts,extracted Table-3 values; tket version per source; no rerun,high,no,this row-level binary IS the companion diagnostic for SD6's aggregate
SD2,ext_2007_15671v1_claim2 (QAOA-OLSQ depth+SWAP),"QAOA-OLSQ lower depth and lower SWAP than tket, A<B",scalar_directional,source_materialized,7 recovered matched comparisons,source-fixed (recovered),tket version per source,matched_cells,2 units x 7 cells,"k/N=7/7 each; Wilson [0.646,1.000]",Wilson interval-boundary,Unresolved,yes,no,n/a (is cell-level),the 7 comparisons,depth and SWAP direction preservation; joint dominance 7/7,small N=7; one comparison/size,high,no,perfect preservation but Wilson lower bound < tau at N=7
