paper_id,title,screening_decision,final_accepted_claim_count,contributes_accepted_claims
2407.01010v2,Multi-target quantum compilation algorithm,include,4,true
2405.05875v2,A Genetic Approach to Minimising Gate and Qubit Teleportations for Multi-Processor Quantum Circuit Distribution,include,4,true
2311.15123v3,Atomique: A Quantum Compiler for Reconfigurable Neutral Atom Arrays,include,7,true
2308.02536v1,qgym: A Gym for Training and Benchmarking RL-Based Quantum Compilation,include,2,true
2304.03829v1,Automated Quantum Oracle Synthesis with a Minimal Number of Qubits,include,4,true
2303.02830v1,ISAAQ: Ising Machine Assisted Quantum Compiler,include,5,true
2211.07685v3,Highly optimized quantum circuits synthesized via data-flow engines,include,4,true
2209.02669v3,Hardware-Conscious Optimization of the Quantum Toffoli Gate,include,2,true
2206.09938v2,Quantum circuit optimization for multiple QPUs using local structure,include,2,true
2206.06684v1,A Pattern Matching-Based Framework for Quantum Circuit Rewriting,include,2,true
2202.14025v1,Arline Benchmarks: Automated Benchmarking Platform for Quantum Compilers,include,24,true
2201.06457v1,Decoding techniques applied to the compilation of CNOT circuits for NISQ architectures,include,4,true
2108.11874v1,Noise-Adaptive Quantum Compilation Strategies Evaluated with Application-Motivated Benchmarks,include,5,true
2108.02099v2,2QAN: A quantum compiler for 2-local qubit Hamiltonian simulation algorithms,include,5,true
2003.08408v2,Enabling Accuracy-Aware Quantum Compilers using Symbolic Resource Estimation,include,2,true
2304.08814v2,A Comparison of Quantum Compilers using a DAG-based or phase polynomial-based Intermediate Representation,include,9,true
2406.06836v3,"Comparative Study of Quantum Transpilers: Evaluating the Performance of qiskit-braket-provider, qBraid-SDK, and Pytket Extensions",include,5,true
2110.00592v2,Nuwa: A Quantum Circuit Transpiler Based on a Finite-Horizon Heuristic for Placement and Routing,include,7,true
2011.12191v4,Reducing the CNOT count for Clifford+T circuits on NISQ architectures,include,5,true
2409.18963v3,Transpiling quantum assembly language circuits to a qudit form,include,3,true
2411.19388v1,Limitations of Quantum Approximate Optimization in Solving Generic Higher-Order Constraint-Satisfaction Problems,include,11,true
2411.00518v2,Quantum tree generator improves QAOA state-of-the-art for the knapsack problem,include,5,true
2410.22247v2,Automorphism-Assisted Quantum Approximate Optimization Algorithm for efficient graph optimization,include,3,true
2410.15626v1,Hybrid Quantum-HPC Solutions for Max-Cut: Bridging Classical and Quantum Algorithms,include,5,true
2410.07674v1,Inequality constraints in variational quantum circuits with qudits,include,3,true
2409.19820v1,Qompose: A Technique to Select Optimal Algorithm- Specific Layout for Neutral Atom Quantum Architectures,include,3,true
