claim_id,paper_id,claim_text_excerpt,exact_proxy_free_yes_no,broader_auditable_design_yes_no,evidence_mode_if_auditable,missing_or_limiting_component,reason_not_exact,reason_not_broader_auditable_if_applicable,source_reporting_limitation_yes_no,methodology_limitation_yes_no,strongest_audit_type,blocker_type,notes
ext_2007_15671v1_claim2,2007.15671v1,"For a specific family of quantum programs named QAOA, which is deemed to be a promising application for near-term quantum computers, we furt",no,yes,source_supported_extension,methodology+reporting,composite depth+cost; comparator vague,,yes,readiness(relation-model/host),RQ2-A,methodology+reporting,tier=T4
ext_2007_15671v1_claim3,2007.15671v1,"Evaluation results show that TB-OLSQ is nearly optimal and is able to increase fidelity by 1.30x in geomean, compared to TriQ [15], a leadin",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T4
ext_2007_15671v1_claim4,2007.15671v1,"Compared to t|ket⟩, TB-OLSQ-SWAP often reduces the CX cost by large margins, 69.2% in geometric mean.",no,yes,relation_specific,methodology(reconstructed),zero-exclusion convention reconstructed,,no,readiness(relation-model/host),RQ2-C,methodology(reconstructed),tier=T4
ext_2007_15671v1_claim5,2007.15671v1,"In some cases, TriQ has slightly better fidelity results by leveraging larger depths.",no,yes,relation_specific,env+methodology,fidelity needs noise model/execution -> relation-specific or extension,,no,readiness(relation-model/host),RQ2-C,env+methodology,tier=T3
ext_2008_02941v2_claim3,2008.02941v2,"In most cases the rate of convergence also becomes better, sometimes even exponentially faster after passing this threshold.",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2009_03351v3_claim2,2009.03351v3,"We ﬁnd that for small systems the gate count from Trotterization dominates the budget of QFD+HOA, making it more costly than VQE for N small",no,yes,source_supported_extension,source_rows,build both on source-specified instances (structural count),,no,no,RQ2-A,env/needs-build,tier=T3
ext_2009_13545v3_claim1,2009.13545v3,"In all cases, the metaVQE is able to learn the shape of the energy functional and, in some cases, resulted in improved accuracy in compariso",no,yes,relation_specific,methodology+ownership,disjoint released grids -> interpolation=reconstruction; author-owned,,yes,readiness(relation-model/host),RQ2-C,methodology+ownership,tier=T3
ext_2009_13545v3_claim3,2009.13545v3,"Since we use ﬁve training points, optnl-meta-VQE becomes cheaper when more than 20 test points are required.",no,yes,relation_specific,methodology+ownership,disjoint grids; author-owned,,yes,readiness(relation-model/host),RQ2-C,methodology+ownership,tier=T3
ext_2011_08137v3_claim2,2011.08137v3,"For all studied species, FCI/IAO and q-UCCSD/IAO binding energies are in better agreement with CCSD/aug-cc-pVQZ binding energies than their ",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
ext_2011_08137v3_claim4,2011.08137v3,"Comparison between Tables I and II, on the other hand, indicates that the HONO/LUNO active space leads to a slightly shorter equilibrium bon",no,yes,source_supported_extension,relation,simulatable expected value (QAOA/VQE) OR aggregate -> RQ2-C,,no,no,RQ2-A,env/needs-build,tier=T3
