claim_id,anonymized_paper_id,source_group,domain_or_paradigm,baselines,metric,asserted_direction,materialization_tier,tier_confidence,completed_external_audit,artifact_status,paper_description_sufficiency,materialization_status,missing_elements,estimated_implementation_effort,include_in_main_audit_if_implemented,paper_use,reason_for_tier,evidence_source,evidence_pointer,notes
ext_2308_02536v1_legacy_claim2,P29,P29,transpiler/compiler,Fig. 3(C) PPO-found schedule with commutation rules vs Fig. 3(B) ALAP schedule without commutation rules,schedule time / schedule length,A < B,T3,high,no,available,partial,high_effort,artifact;data;hyperparameters;resource_budget,high,no,artifact_only,"qgym exists, but reproducing the PPO schedule comparison would require saved policy/scheduler artifacts or proxy schedule construction.",materialization_review,artifact/external_audit/materialization/materialization_tier_report.md: qgym row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim6,P16,P16,transpiler/compiler,Qiskit Transpile vs Pytket DefaultMapping,CX depth overhead,A > B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C6 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C6),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim12,P16,P16,transpiler/compiler,Pytket C++ backend vs Qiskit/PyZX/Cirq Python implementations,runtime performance,A > B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C1 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C1),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2202_14025v1_legacy_claim22,P16,P16,VQE/chemistry/ansatz,PytketChem vs FullReduce,two-qubit gate count compression performance,A > B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2202.14025v1.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2304_08814v2_claim5,P25,P25,transpiler/compiler,TKET vs Qiskit,CNOT gate count,A < B,T1,high,yes,already_materialized,sufficient,completed,,already_executable,yes,main_external_audit_candidate,Completed as an N=80 external audit with an existing faithful adapter or artifact-backed materialization.,local_adapter,paper/output/figures/section5/external_forest_data.csv (EX-C3 row); paper/output/figures/section5/per_claim_external_audit.csv (EX-C3),Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2304_08814v2_claim6,P25,P25,transpiler/compiler,ParitySynth/Steiner-GraySynth vs Qiskit/TKET,compiler runtime,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;resource_budget,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components. Runtime metrics also require host/environment normalization.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2304.08814v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2304_08814v2_claim7,P25,P25,transpiler/compiler,ParitySynth/Steiner-GraySynth on larger circuits vs TKET on larger circuits,CNOT gate count,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2304.08814v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_14786v3_claim2,P42,P42,optimization/QAOA,Parity QAOA with Cbest objective vs vanilla QAOA,CNOT depth,A < B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.14786v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_14786v3_claim6,P42,P42,optimization/QAOA,Cbest objective vs Cmean objective,approximation ratio,A > B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.14786v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2409_14786v3_claim8,P42,P42,optimization/QAOA,Parity QAOA vs vanilla QAOA,approximation ratio/performance,A > B,T3,medium,no,available,partial,high_effort,artifact;hyperparameters;instance_generator;optimizer;resource_budget,high,no,artifact_only,The variational claim needs an optimizer/seed/budget surface; the paper-level claim is audit-eligible but not proxy-free executable from current artifacts.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2409.14786v3.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2407_01010v2_claim1,P40,P40,optimization/QAOA,GA-VQA vs Qiskit-generated circuit and g2gN ansatz,circuit depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2407.01010v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2407_01010v2_claim3,P40,P40,optimization/QAOA,GA-VQA-found ansatz vs UCCSD ansatz,circuit depth,A < B,T3,high,no,available,partial,high_effort,artifact;baseline;hyperparameters;other,high,no,artifact_only,The claim depends on a paper-specific algorithm/baseline; implementing it would require inferred settings or substitute components.,worksheet;audit_plan;operationalizability_filter,artifact/field_study/claims/extracted_claims_457.csv worksheet-derived row: 2407.01010v2.md; operationalizability label row,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
