claim_id,arxiv_id,paradigm,confidence,o1_pass,o1_reason,o2_pass,o2_reason,o3_pass,o3_reason,o4_pass,o4_reason,o5_pass,o5_reason,o6_pass,o6_reason,o7_pass,o7_reason,overall_verdict,notes,operationalizability_category,audit_eligibility_reason,claim_verbatim,claim_location,proposed_formalization,review_notes
ext_2308_02536v1_legacy_claim2,2308.02536v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/QuTech-Delft/qgym', 'https://github.com/quantumlib/Cirq/graphs/contributors']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.,"Taking into account that the (Pauli-)X gate and CNOT in the circuit commute, the schedule shown in Fig. 3(C) would be a better schedule, since it represents the same quantum circuit and is shorter in time.",worksheet Stage 3 accepted claim,"{""problem"": ""quantum circuit scheduling for the Fig. 3 two-qubit circuit"", ""baseline_A"": ""Fig. 3(C) PPO-found schedule with commutation rules"", ""baseline_B"": ""Fig. 3(B) ALAP schedule without commutation rules"", ""metric"": ""schedule time / schedule length"", ""direction"": ""A < B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""method_vs_method""}","Comparator is resolved from the immediately preceding ALAP sentence and Fig. 3 caption. The metric is explicit in the sentence as ""shorter in time."""
ext_2411_19388v1_claim1,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"For large r, we observe that M4 decreases with k, providing a first indication that random Max- kXOR becomes harder and harder to solve for the QAOA.",Local text character 22319,"{""problem"": ""QAOA on random Max-kXOR at large clause-to-variable ratio"", ""baseline_A"": ""smaller k Max-kXOR instances"", ""baseline_B"": ""larger k Max-kXOR instances"", ""metric"": ""QAOA ensemble-averaged approximation ratio M4"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""problem_parameter_vs_parameter""}",Metric-specific k-hardness claim; c5 collapsed as broader same-quantity phrasing.
ext_2411_19388v1_claim4,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Despite the wider distribution, the MF-AOA consistently matches the QAOA on average.",Local text character 28972,"{""problem"": ""random Max-kXOR optimization across varying k"", ""baseline_A"": ""MF-AOA"", ""baseline_B"": ""QAOA"", ""metric"": ""ensemble-averaged approximation ratio Mp"", ""direction"": ""A ~= B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""algorithm_vs_algorithm""}",Results-section formulation retained; c1 abstract statement collapsed as duplicate.
ext_2411_19388v1_claim5,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Our findings show that for small systems ( N ≈ 8), the QAOA outperforms the MF-AOA.",Local text character 29880,"{""problem"": ""QAOA vs MF-AOA on random Max-kXOR at small system size"", ""baseline_A"": ""QAOA"", ""baseline_B"": ""MF-AOA"", ""metric"": ""ensemble-averaged approximation ratio Mp"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""algorithm_vs_algorithm""}","Explicit algorithms, system size, and winner."
ext_2411_19388v1_claim6,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"However, as the system size increases ( N ≈ 20), the MF-AOA surpasses the QAOA.",Local text character 29964,"{""problem"": ""QAOA vs MF-AOA on random Max-kXOR at larger system size"", ""baseline_A"": ""MF-AOA"", ""baseline_B"": ""QAOA"", ""metric"": ""ensemble-averaged approximation ratio Mp"", ""direction"": ""A > B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""algorithm_vs_algorithm""}","Explicit algorithms, larger system size, and winner."
ext_2411_19388v1_claim7,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"For hard instances ( r = 1.5), we observe that the QAOA approaches and eventually surpasses the MF-AOA’s approximation ratio as the circuit depth increases.",Local text character 30441,"{""problem"": ""QAOA vs MF-AOA on hard random Max-kXOR instances"", ""baseline_A"": ""high-depth QAOA"", ""baseline_B"": ""MF-AOA"", ""metric"": ""ensemble-averaged approximation ratio Mp"", ""direction"": ""A > B at sufficiently high circuit depth"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""depth_vs_algorithm""}",Depth-conditioned comparison retained as distinct from small/large-system claims.
ext_2411_19388v1_claim8,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"However, the QAOA requires relatively high circuit depths to match the Mp value achieved by the classical benchmark for both low and high k values.",Local text character 30598,"{""problem"": ""QAOA depth required to match classical benchmark on random Max-kXOR"", ""baseline_A"": ""MF-AOA classical benchmark"", ""baseline_B"": ""QAOA"", ""metric"": ""circuit depth required to match Mp"", ""direction"": ""A < B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""algorithm_vs_algorithm""}",General depth requirement for low and high k values.
ext_2411_19388v1_claim9,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,fail,Direction is equality/boundary rather than a strict directional claim.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Notably, for the easy case( r = 0.5) at k = 5, the QAOA matches the classical approximation ratio at relatively low circuit depth p = 17 and even surpasses it at large depths.",Local text character 30746,"{""problem"": ""QAOA vs classical benchmark on easy Max-kXOR case r=0.5, k=5"", ""baseline_A"": ""QAOA at p >= 17"", ""baseline_B"": ""classical benchmark"", ""metric"": ""approximation ratio"", ""direction"": ""A >= B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""depth_vs_algorithm""}","Specific easy-case condition differs from the general high-depth requirement, so kept separate."
ext_2411_19388v1_claim10,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"However, the MF-AOA results require hardly any computational effort, while the angle optimization going into the QAOA results consumes considerable resources (besides being problematic on noisy quantum hardware [6, 8–10]).",Local text character 30922,"{""problem"": ""computational effort of QAOA vs MF-AOA on Max-kXOR"", ""baseline_A"": ""MF-AOA"", ""baseline_B"": ""QAOA angle optimization"", ""metric"": ""computational effort"", ""direction"": ""A < B"", ""delta"": ""0"", ""paradigm"": ""variational_optimization"", ""metric_type"": ""continuous"", ""comparator_type"": ""algorithm_vs_algorithm""}",Direct computational-effort comparison.
ext_2202_14025v1_legacy_claim1,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.,"Qiskit, Pytket and Cirq were able to compress input circuits to the optimal ones with optimal CX and U3 gate counts.",worksheet Stage 3 accepted claim,"{""problem"": ""two-qubit KAK benchmark compression"", ""baseline_A"": ""Qiskit/Pytket/Cirq pipelines"", ""baseline_B"": ""KAK optimal bound"", ""metric"": ""CX and U3 gate counts"", ""direction"": ""A == B"", ""delta"": ""0"", ""paradigm"": ""compilation"", ""metric_type"": ""continuous"", ""comparator_type"": ""compiler_vs_theoretical_bound""}",Directly states optimal CX/U3 counts.
