claim_id,paper_id,paradigm,confidence,final_accepted_comparative_claim,final_claim_card_specifiable,final_relation_family,final_scalar_directional,final_planning_feasible,final_scalar_oriented_planning,final_perturbation_audit_candidate,final_verification_only,final_materialized_rq2,final_tier,decision_source,source_evidence_status,source_location,decision_note
ext_2308_02536v1_legacy_claim2,2308.02536v1,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,worksheet Stage 3 accepted claim,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2411_19388v1_claim1,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,Local text character 22319,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim4,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 579,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim5,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 592,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim6,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 592,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim7,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,Local text character 30441,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim8,2411.19388v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 601,scalar-directional but outside planning-feasible set
ext_2411_19388v1_claim9,2411.19388v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,Local text character 30746,
ext_2411_19388v1_claim10,2411.19388v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,Local text character 30922,
ext_2202_14025v1_legacy_claim1,2202.14025v1,compilation,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 461,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim2,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim3,2202.14025v1,compilation,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 528,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim4,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim5,2202.14025v1,compilation,HIGH,true,true,categorical_or_equality,false,false,false,false,false,false,,headline_count_final_crosscheck_decisions.csv,verified_sentence,line 604,Equality relation; scalar_directional remains false.
ext_2202_14025v1_legacy_claim6,2202.14025v1,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,true,T1,relation_schema_rq1_flags.csv,verified_sentence,line 605,RQ2 scalar card
ext_2202_14025v1_legacy_claim7,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim8,2202.14025v1,compilation,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,worksheet Stage 3 accepted claim,scalar-directional but outside planning-feasible set
ext_2202_14025v1_legacy_claim11,2202.14025v1,compilation,HIGH,true,true,multi_objective,false,false,false,false,false,false,,headline_count_final_crosscheck_decisions.csv,verified_sentence,line 701,Multi-objective relation; scalar_directional remains false.
ext_2202_14025v1_legacy_claim12,2202.14025v1,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,true,T1,relation_schema_rq1_flags.csv,verified_sentence,line 725,RQ2 scalar card
ext_2202_14025v1_legacy_claim13,2202.14025v1,compilation,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 958,"relation-aware planning candidate, non-scalar"
ext_2202_14025v1_legacy_claim14,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim15,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim16,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim17,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim18,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim19,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 1281,
ext_2202_14025v1_legacy_claim20,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim21,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2202_14025v1_legacy_claim22,2202.14025v1,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,verified_sentence,line 1295,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2202_14025v1_legacy_claim24,2202.14025v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2410_15626v1_legacy_claim1,2410.15626v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2410_15626v1_legacy_claim2,2410.15626v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2410_15626v1_legacy_claim3,2410.15626v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2410_15626v1_legacy_claim4,2410.15626v1,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2410_15626v1_legacy_claim5,2410.15626v1,variational,HIGH,true,true,scalar_directional,true,false,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,worksheet Stage 3 accepted claim,scalar-directional but outside planning-feasible set
ext_2108_11874v1_legacy_claim1,2108.11874v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2108_11874v1_legacy_claim2,2108.11874v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2108_11874v1_legacy_claim4,2108.11874v1,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,worksheet Stage 3 accepted claim,
ext_2304_08814v2_claim1,2304.08814v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 1, In the NISQ era, where quantum computing is dominated by hybrid quantum, character 622",
ext_2304_08814v2_claim2,2304.08814v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 1, In the NISQ era, where quantum computing is dominated by hybrid quantum, character 714",
ext_2304_08814v2_claim4,2304.08814v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 371,
ext_2304_08814v2_claim5,2304.08814v2,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,true,T1,relation_schema_rq1_flags.csv,insufficient_context,"Page 24, Steiner-GraySynth are an order of magnitude faster than Qiskit and TKET,, character 37268",RQ2 scalar card
ext_2304_08814v2_claim6,2304.08814v2,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,verified_sentence,line 565,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2304_08814v2_claim7,2304.08814v2,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,verified_sentence,line 556,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2304_08814v2_claim8,2304.08814v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 30, Moreover, it does so in a fraction of the time that is needed for TKET and Qiskit, character 52593",
ext_2304_08814v2_claim9,2304.08814v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 24, RQ5: What is the performance difference between DAG-based, character 37664",
ext_2409_14786v3_claim1,2409.14786v3,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 1, Algorithm on the Parity architecture (Parity QAOA) for solving instances of the signed Max-Cut, character 921",
ext_2409_14786v3_claim2,2409.14786v3,variational,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 14, Figure 10 shows results of QAOA simulations of, character 65659",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2409_14786v3_claim3,2409.14786v3,variational,HIGH,true,true,scalar_directional,true,true,true,false,true,false,,relation_schema_rq1_flags.csv,verified_sentence,line 1533,verification-only deterministic record
ext_2409_14786v3_claim4,2409.14786v3,variational,HIGH,true,true,scalar_directional,true,true,true,false,true,false,,relation_schema_rq1_flags.csv,verified_sentence,line 1540,verification-only deterministic record
ext_2409_14786v3_claim6,2409.14786v3,variational,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 6, Figure 2 shows the results for the approximation ratio,, character 26370",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2409_14786v3_claim8,2409.14786v3,variational,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 16, Jijk denote the weights for the corresponding hyperedges, character 74535",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2409_14786v3_claim9,2409.14786v3,variational,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,"Page 16, The results show that for this hypergraph, Parity, character 74758","relation-aware planning candidate, non-scalar"
ext_2407_01010v2_claim1,2407.01010v2,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 4, As expected, higher N requires larger d to achieve high, character 15137",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2407_01010v2_claim2,2407.01010v2,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 5, Here, we apply our GA-VQA to prepare the states in, character 21172",
ext_2407_01010v2_claim3,2407.01010v2,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 7, We apply the GA-VQA scheme to the Hydrogen, character 27013",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2405_05875v2_claim1,2405.05875v2,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 1, Distribution, character 1292",
ext_2405_05875v2_claim3,2405.05875v2,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 8, QPUs for each circuit, this analysis was done 100 times and, character 35630",
ext_2406_06836v3_claim1,2406.06836v3,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 1, University of Science and Technology Houari Boumediene, BP 32 Bab Ezzouar , Algiers, 16111, Algeria, character 1398",
ext_2406_06836v3_claim2,2406.06836v3,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T3,relation_schema_rq1_flags.csv,insufficient_context,"Page 5, The time column in those tables reflects the average, character 22096",perturbation-audit candidate not materialized as RQ2 T1 card
ext_2406_06836v3_claim3,2406.06836v3,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 5, Table I illustrates the performance comparison, character 20545",
ext_2406_06836v3_claim4,2406.06836v3,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 6, Across diff erent circuit types and transpilation tasks,, character 23579",
ext_2409_10739v3_claim1,2409.10739v3,variational,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 29,"relation-aware planning candidate, non-scalar"
ext_2409_10739v3_claim2,2409.10739v3,variational,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 382,"relation-aware planning candidate, non-scalar"
ext_2409_10739v3_claim3,2409.10739v3,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 5, COBYLA-based runs with E-QAOA runs with a population, character 19283",
ext_2409_10739v3_claim5,2409.10739v3,variational,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 5, We expect that the higher robustness for the EA is due to an, character 21402",
ext_2311_15123v3_claim1,2311.15123v3,compilation,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,insufficient_context,"Page 1, MAX k-Cut on a constructed gate frequency graph to minimize, character 1869","relation-aware planning candidate, non-scalar"
ext_2311_15123v3_claim2,2311.15123v3,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 2, Subsequently, at a more fine-grained level, we propose a, character 11386",
ext_2311_15123v3_claim3,2311.15123v3,compilation,HIGH,true,true,multi_objective,false,true,false,false,false,false,,relation_schema_rq1_flags.csv,verified_sentence,line 1632,"relation-aware planning candidate, non-scalar"
ext_2311_15123v3_claim4,2311.15123v3,compilation,HIGH,true,false,not_specifiable,false,false,false,false,false,false,,relation_schema_rq1_flags.csv,raw_extraction_record,"Page 12, Benchmarks are 100Q arbitrary circuit with ten gates per qubit;, character 62128",
ext_2311_15123v3_claim5,2311.15123v3,compilation,HIGH,true,true,scalar_directional,true,true,true,true,false,false,T4,relation_schema_rq1_flags.csv,verified_sentence,line 1651,perturbation-audit candidate not materialized as RQ2 T1 card
ext_2411_00518v2_claim1,2411.00518v2,variational,HIGH,true,true,scalar_directional,true,true,true,true,false,true,T1,relation_schema_rq1_flags.csv,verified_sentence,line 96,RQ2 scalar card
ext_2411_00518v2_claim2,2411.00518v2,variational,HIGH,true,true,crossover_or_regional,false,false,false,false,false,false,,headline_count_final_crosscheck_decisions.csv,insufficient_context,"Page 9, Amplitude Amplification-Mixer-QAOA (AAM-QAOA) where, character 46505",Crossover/regional relation; scalar_directional remains false.
