recode_id,claim_id,paper_id_blinded,claim_text,local_context,metric_text,baseline_a_text,baseline_b_text,problem_scope_text,artifact_context,code_claim_inclusion,code_claim_card_specifiable,code_comparator_pair_identifiable,code_metric_measurable,code_relation_type,code_scalar_directional,code_planning_feasible,code_materialization_tier,code_proxy_free_exact_eligible,code_missing_evidence_category,coder_notes
R001,EIRR001,BP011,"Comparison between Tables I and II, on the other hand, indicates that the HONO/LUNO active space leads to a slightly shorter equilibrium bondlength than with the full IAO basis, and to a less accurate binding energy.",Paper-local location: local text scout; exact sentence span in paper_texts,binding-energy accuracy,full IAO basis,HONO/LUNO active space,NH3 active-space approximation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R002,EIRR002,BP074,"We note that while Qiskit beats the direct AceCR(θ) implementation for γ ∈ { 0.25π, 0.75π, π}, future iterations of Superstaq will address this with custom pulse-shaping of the CR, rather than relying on Qiskit’s calibration.",Paper-local location: Boundary candidate,Hellinger fidelity,Qiskit calibrated implementation,direct AceCR(theta) implementation,two-qubit QAOA direct AceCR implementation on IBM hardware,,,,,,,,,,,,
R003,EIRR003,BP085,We show that the hybrid TN-VQE implementation improves the convergence of the algorithm in comparison to optimizing randomly-initialized quantum circuits via VQE.,Paper-local location: local text scout; exact sentence span in paper_texts,convergence / average performance,hybrid TN-VQE,standard/randomly initialized VQE,tensor-network initialized VQE,,,,,,,,,,,,
R004,EIRR004,BP058,"More specifically, we show that while XQAOAY 1 can find the MaxCut ofS4 with an approximation ratio of 1, QAOA1 can achieve an approximation ratio of at most 3/4.",Paper-local location: Local text character 29551,approximation ratio,XQAOA_Y at p=1,QAOA at p=1,MaxCut on S4 graph,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R005,EIRR005,BP008,"We ﬁnd that for small systems the gate count from Trotterization dominates the budget of QFD+HOA, making it more costly than VQE for N smaller than 10 qubits.",Paper-local location: local text scout; exact sentence span in paper_texts,gate-count cost for N<10,VQE,QFD+HOA,small-system Heisenberg eigensolver cost,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R006,EIRR006,BP082,• Demonstrate that QAOA outperforms both WalkSATlm and WalkSATm2b2 on a range of k-NAE-SAT instances.,Paper-local location: Local text character 5454,median running time / scaling,QAOA,WalkSATlm and WalkSATm2b2,k-NAE-SAT solving benchmark,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R007,EIRR007,BP111,"Although QUBO uses fewer ancilla qubits and two-qubit gates, the results indicate that it requires a greater number of optimization iterations and a longer runtime.",Paper-local location: Resource/runtime results,optimization_iterations_and_runtime,penalty dephasing/Zeno encoding,QUBO encoding,constraint encoding for QAOA,Artifact context: a paper-linked artifact/repository or study-local executable evidence is recorded for this claim. Use the protocol to decide whether this is sufficient for proxy-free re-execution.,,,,,,,,,,,
R008,EIRR008,BP006,"Compared to t|ket⟩, TB-OLSQ-SWAP often reduces the CX cost by large margins, 69.2% in geometric mean.",Paper-local location: TB-OLSQ-SWAP evaluation,cx_cost,TB-OLSQ-SWAP,tket,transition-based layout synthesis,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R009,EIRR009,BP027,"For product formula circuits, Nuwa uses 13.1% more Swap gates than tket but 83.1% fewer than arct.","Paper-local location: Page 8, Method (1): linear placement, method (2A): matching-based, character 38566",SWAP gate count,tket,Nuwa,product formula circuit transpilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
R010,EIRR010,BP074,"Superstaq increases Hellinger fidelity by 2.3x and 13x compared to Qiskit’s highest optimization, level-3.",Paper-local location: Benchmark results/Figure 1,hellinger_fidelity,Superstaq,Qiskit optimization_level=3,benchmark application compilation,Artifact context: no paper-linked artifact or repository is recorded.,,,,,,,,,,,
