count_name,prior_value,corrected_value,delta,filter_definition,source_grounded_rationale
accepted_comparative_claims,457,455,-2,"accepted_comparative_claim == true","Two Layer-1 strict-reading demotions accepted: ext_2008_02941v2_claim2 (state-vs-ground-state, not a method/tool comparator) and ext_2208_13380v2_claim2 (simulation-vs-measurement is a verification setup). Both were already specifiable=false so 166 is unaffected."
claim_card_specifiable,166,175,+9,"specifiable_relation_schema == true","Net +9: ten Layer-2 false->true corrections from the disagreement set (each verified by line number in data/slr/paper_texts/) minus one Layer-2 true->false removal under the strict ambiguous-comparator rule (ext_2405_09169v3_claim4, implicit smaller-prior-runs comparator)."
scalar_directional,142,145,+3,"scalar_directional == true","Net +3: four new scalar-directional ADDs (ext_2005_11011v2_claim3, ext_2108_02099v2_claim3, ext_2304_03829v1_claim4, ext_2309_01028v2_claim5) minus one REMOVE (ext_2405_09169v3_claim4, scalar=true -> false under ambiguous-comparator rule). The six non-scalar ADDs (multi-objective/equality/crossover) do not enter 142."
planning_feasible,92,93,+1,"planning_feasible == true","One ADD: ext_2309_01028v2_claim5 has explicit numbers in source and an associated Zenodo artifact (ESOP w/ vs w/o preprocessing, complexity 6981.6 vs 3769.5), so planning_feasible flips true."
scalar_oriented_planning,78,79,+1,"scalar_oriented_planning == true; also = 145 intersect 93","One ADD: ext_2309_01028v2_claim5 enters both the scalar-directional and planning-feasible sets, so the corrected intersection is 79. No other accepted change touches both filters simultaneously."
materialized_rq2,8,8,0,"materialized_rq2 == true","No row in the 16-row boundary sheet changes materialized_rq2. The eight EX-C1..EX-C8 primary exact cards remain locked. RQ2's 2 Sustained / 4 Unresolved / 2 Reversed (2/4/2) split is unchanged."
scalar_outside_78,64,66,+2,"scalar_directional == true AND scalar_oriented_planning == false","Derived: 145 - 79 = 66. Breakdown: 62 lack public artifact/support (59 prior + 3 new missing-artifact ADDs: ext_2005_11011v2_claim3, ext_2108_02099v2_claim3, ext_2304_03829v1_claim4) and 6 require real hardware/noise (7 prior - 1 removed: ext_2405_09169v3_claim4 was hardware/noise category); 2 fall into both (unchanged)."
non_scalar_in_175,24,30,+6,"specifiable_relation_schema == true AND scalar_directional == false","Six new non-scalar specifiable ADDs: ext_2202_14025v1_legacy_claim5 (equality), ext_2202_14025v1_legacy_claim11 (multi-objective), ext_2305_03390v1_claim1 (multi-objective), ext_2309_01028v2_claim4 (multi-objective tradeoff), ext_2409_15055v2_claim2 (crossover), ext_2411_00518v2_claim2 (crossover). Final split: 26 multi-objective + 2 equality + 2 crossover/regional."
multi_objective_in_175,23,26,+3,"specifiable_relation_schema == true AND relation_type == multi_objective","Three new multi-objective ADDs (legacy_claim11, 2305_claim1, 2309_claim4). Previous 23 unchanged."
categorical_equality_in_175,1,2,+1,"specifiable_relation_schema == true AND relation_type == categorical_or_equality","One new equality ADD (ext_2202_14025v1_legacy_claim5)."
crossover_regional_in_175,0,2,+2,"specifiable_relation_schema == true AND relation_type == crossover_or_regional","Two new crossover ADDs (ext_2409_15055v2_claim2, ext_2411_00518v2_claim2)."
perturbation_audit_candidates,76,77,+1,"perturbation_audit_candidate == true","Derived: ext_2309_01028v2_claim5 enters the final 79 scalar-directional planning set and is a perturbation-audit candidate. The 2 verification-only records remain outside this set."
verification_only_records,2,2,0,"verification_only == true","No change in the 16-row sheet."
auditable_designs_from_79,53,53,0,"auditable-design side of the 79-record materialization disposition","Six-row manuscript summary in field_study/rq1_materialization_barrier_taxonomy.csv; individual records in field_study/rq1_materialization_barrier_records_79.csv: 8 exact + 2 source-materialized + 43 source-supported extensions."
