item_id,claim_id,field,first_label,recode_label,disagreement_type,adjudicated_label,adjudication_rationale,codebook_clarified,headline_count_would_change
S009,ext_2005_11011v2_claim3,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 782 unambiguously names three optimizers (MPG, Nelder-Mead, MGD), a single metric (resilience), and a directional ranking; claim-card schema fills cleanly.",yes,yes
S011,ext_2108_02099v2_claim3,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 1644 unambiguously names comparators (t|ket and Qiskit), metric (depth), and direction (reduction); schema fills cleanly.",yes,yes
S012,ext_2202_14025v1_legacy_claim11,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 701 unambiguously names PyZX vs competitors, two metrics (CX reduction with single-qubit cost), and direction; multi-objective schema fills cleanly.",yes,yes
S013,ext_2202_14025v1_legacy_claim5,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 604 unambiguously names comparators (Qiskit Transpile vs Pytket DefaultMapping), metric (CX count overhead), and equality relation; schema fills cleanly.",yes,yes
S014,ext_2304_03829v1_claim4,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 547 unambiguously gives an explicit numeric comparison (6,981.6 vs lower) between named configurations (ESOP with vs without RTT); schema fills cleanly.",yes,yes
S015,ext_2305_03390v1_claim1,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 427 unambiguously names PUBO vs QUBO and three metrics (expected value, median, variance) -> multi-objective; schema fills cleanly.",yes,yes
S016,ext_2308_02536v1_legacy_claim1,claim_card_specifiable,false,true,false->true,false,Adjudicated to keep the initial label per crosscheck (ambiguous metric/comparator).,yes,no
S017,ext_2309_01028v2_claim4,claim_card_specifiable,false,true,false->true,true,Source sentence at line 1054 unambiguously names ESOP vs TBS and gives a multi-metric tradeoff (complexity vs qubit count); schema fills cleanly.,yes,yes
S018,ext_2309_01028v2_claim5,claim_card_specifiable,false,true,false->true,true,"Source sentence at line 1068 unambiguously gives explicit numbers (6,981.6 vs 3,769.5) between named configurations; Zenodo artifact present so planning_feasible also flips true.",yes,yes
S019,ext_2409_15055v2_claim2,claim_card_specifiable,false,true,false->true,true,Source sentence at line 899 unambiguously names DC-QAOA(NC) vs QAOA and a size-dependent crossover at N=16; schema fills cleanly.,yes,yes
