claim_id,paper_id,source_file_or_record,source_evidence_status,source_location,source_excerpt,previous_accepted_comparative_claim,adjudicated_accepted_comparative_claim,previous_claim_card_specifiable,adjudicated_claim_card_specifiable,P,B_A,B_B,M,R,previous_relation_type,adjudicated_relation_type,previous_scalar_directional,adjudicated_scalar_directional,previous_planning_feasible,adjudicated_planning_feasible,adjudicated_scalar_oriented_planning_record,previous_exact_proxy_free_materialized,adjudicated_exact_proxy_free_materialized,previous_broader_auditable_design,adjudicated_broader_auditable_design,strongest_adjudicated_mode,formal_checker,optional_cellwise_Wilson_diagnostic,primary_blocker_if_any,blocker_is_source_reporting_limitation_yes_no,blocker_is_methodology_limitation_yes_no,decision_changed_yes_no,change_type,adjudication_confidence,human_review_needed_yes_no,notes
ext_2002_11724v2_claim2,2002.11724v2,data/slr/paper_texts/2002.11724v2.txt,insufficient_context,,,true,true,true,true,excited-state energy estimation,VQD,SSVQE and MCVQE,energy accuracy,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,medium,yes,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2002_11724v2_claim3,2002.11724v2,data/slr/paper_texts/2002.11724v2.txt,verified_sentence,line 360,"i), the VQD gives the most accurate oscillator strengths, which indicates that the method enables us to generate",true,true,true,true,transition oscillator-strength estimation,VQD,SSVQE and MCVQE,oscillator-strength accuracy,A > B,scalar_directional,scalar_directional,true,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,no,,high,no,O1/O2 source-reporting blocker confirmed by failed_criteria_by_claim; scalar relation valid.
ext_2005_11011v2_claim3,2005.11011v2,data/slr/paper_texts/2005.11011v2.txt,verified_sentence,line 782,"deviation. In this scenario, Nelder-Mead is the least resilient to this noise, while MPG is the most, and MGD follows.",true,true,false,true,VQA optimizer resilience to gate rotation error,MPG optimizer,Nelder-Mead optimizer,noise resilience,A > B,,scalar_directional,false,true,false,false,false,,no,,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_artifact,yes,no,yes,previous specifiable=false; source evidence supports filled schema and scalar relation,high,no,Three-optimizer ranking (Nelder-Mead < MGD < MPG) is a valid scalar-directional comparison after pairwise reduction.
ext_2007_15671v1_claim2,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_evidence_object,yes,yes,no,,medium,yes,tier=T4
ext_2007_15671v1_claim3,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,verified_sentence,line 116,"show that TB-OLSQ is nearly optimal and is able to increase fidelity by 1.30x in geomean, compared to TriQ [15], a leading academic",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,high,no,tier=T4
ext_2007_15671v1_claim4,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,medium,yes,tier=T4
ext_2007_15671v1_claim5,2007.15671v1,data/slr/paper_texts/2007.15671v1.txt,verified_sentence,line 889,"some larger programs. In some cases, TriQ has slightly better fidelity results by leveraging larger depths. This is expected since TB-OLSQ-Fidelity optimizes fidelity with the fewest transitions",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,no,yes,no,,high,no,tier=T3
ext_2008_02941v2_claim2,2008.02941v2,data/slr/paper_texts/2008.02941v2.txt,verified_sentence,line 654,state. We see that the average HVA state is more entangled than the ground states of interest.,true,false,false,false,HVA entanglement characterization,average HVA state,ground states of interest,entanglement,A > B,,unclear_boundary,false,false,false,false,false,,no,,no,boundary_no_design,boundary_report,no,missing_comparator,yes,no,yes,"state-vs-state comparison, not method/tool/algorithm/config/backend/baseline; Layer 1 fails on strict reading",medium,no,"Compared objects are quantum states, not comparators recognized by Layer 1."
ext_2008_02941v2_claim3,2008.02941v2,data/slr/paper_texts/2008.02941v2.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2009_03351v3_claim2,2009.03351v3,data/slr/paper_texts/2009.03351v3.txt,insufficient_context,,,true,true,true,true,,,,,,scalar_directional,scalar_directional,true,true,true,true,true,no,no,yes,yes,source_supported_extension,Wilson_direction_preservation,yes,missing_baseline_implementation,no,no,no,,medium,yes,tier=T3
ext_2009_13545v3_claim1,2009.13545v3,data/slr/paper_texts/2009.13545v3.txt,verified_sentence,line 13,"an electronic H 4 Hamiltonian and a single-transmon quantum simulation. In all cases, the metaVQE is able to learn the shape of the energy functional and, in some cases, resulted in improved accuracy in comparison to individual VQE optimization. The meta-VQE algorithm introduces both",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,yes,yes,no,,high,no,tier=T3
ext_2009_13545v3_claim3,2009.13545v3,data/slr/paper_texts/2009.13545v3.txt,verified_sentence,line 532,"standard VQE. Since we use ﬁve training points, optnl-meta-VQE becomes cheaper when more than 20 test points are required. Note that those numbers should",true,true,true,true,,,,,,scalar_directional,relation_specific,true,false,true,true,false,no,no,yes,yes,relation_specific,relation-specific (see notes),no,missing_evidence_object,yes,yes,no,,high,no,tier=T3
