design_id,source_claim_id,source_paper_id,relation_type,materialization_tier,audit_design_status,scope_summary,env_summary,outcome_rule_type,tableII_record_id_if_applicable,derivation_source_file,boundary_or_extension_note,locked_manifest_available
AUD-01,ext_2202_14025v1_legacy_claim12,2202_14025v1,scalar-directional,exact,exact locked,connectivity-stress circuits (Benchpress family),L1 opt-level x timing repetition (4x4x5=80),Wilson S/U/R,EX-C1,artifact/claim_cards/EX-C1.yaml; artifact/rq2_audit_design_ledger.csv,compile-time scalar; timing repetitions are ENV measurement-protocol settings (one cell per repetition),yes
AUD-02,ext_2411_00518v2_claim1,2411_00518v2,scalar-directional,exact,exact locked,QAOA instances,ALGO copula depth (16x5=80),Wilson S/U/R,EX-C2,artifact/claim_cards/EX-C2.yaml; artifact/external_audit/audit_space/external_audit_space_contracts.md,aggregate-trace: per-cell outcomes read from the source result CSV (not independently re-executed); per-cell CSV absent,partial
AUD-03,ext_2304_08814v2_claim5,2304_08814v2,scalar-directional,exact,exact locked,PauliOpt circuit family,L1 opt-level x transpiler seed (4x4x5=80),Wilson S/U/R,EX-C3,artifact/claim_cards/EX-C3.yaml; artifact/external_audit/tier1_robustness/per_cell_inputs/ext_2304_08814v2_claim5_measurements.csv,compiler/transpiler axes logged (coupling map; basis gates; opt levels; seeds),yes
AUD-04,ext_2411_00518v2_claim3,2411_00518v2,scalar-directional,exact,exact locked,QAOA instances,ALGO optimizer x copula depth (5x8x2=80),Wilson S/U/R,EX-C4,artifact/claim_cards/EX-C4.yaml; artifact/external_audit/audit_space/external_audit_space_contracts.md,aggregate-trace: per-cell outcomes read from the source result CSV (not independently re-executed); per-cell CSV absent,partial
AUD-05,ext_2409_08844v2_claim4,2409_08844v2,scalar-directional,exact,exact locked,Benchpress circuit family,L1 opt-level x transpiler seed (4x4x5=80),Wilson S/U/R,EX-C5,artifact/claim_cards/EX-C5.yaml; artifact/external_audit/tier1_robustness/per_cell_inputs/ext_2409_08844v2_claim4_measurements.csv,compiler/transpiler axes logged,yes
AUD-06,ext_2202_14025v1_legacy_claim6,2202_14025v1,scalar-directional,exact,exact locked,Benchpress circuit family,scope joined with random seed x L1 (4x20=80),Wilson S/U/R,EX-C6,artifact/claim_cards/EX-C6.yaml; artifact/external_audit/audit_space/external_audit_space_contracts.md,seed joined with scope: random seeds parameterize instance and routing on one fixed graph,yes
AUD-07,ext_2409_08844v2_claim3,2409_08844v2,scalar-directional,exact,exact locked,4 connectivity-stress circuits (four-qubit line),L1 opt-level x transpiler seed (4x4x5=80),Wilson S/U/R,EX-C7,artifact/claim_cards/EX-C7.yaml; artifact/external_audit/tier1_robustness/per_cell_inputs/ext_2409_08844v2_claim3_measurements.csv,reversal within the locked connectivity-stress sub-scope; not a correction of the source full benchmark,yes
AUD-08,ext_2409_08844v2_claim1,2409_08844v2,scalar-directional,exact,exact locked,Benchpress circuit family,timing repetition (4x20=80),Wilson S/U/R,EX-C8,artifact/claim_cards/EX-C8.yaml; artifact/external_audit/tier1_robustness/per_cell_inputs/ext_2409_08844v2_claim1_measurements.csv,build-time scalar; timing repetitions are ENV measurement-protocol settings (one cell per repetition),yes
AUD-09,ext_2007_15671v1_claim4,2007_15671v1,scalar-directional,source-materialized,relation-level locked,22 OLSQ Table-3 instances,source-fixed (reported rows; no env sweep),Wilson row-level (16/22),SD1,docs/rq2_batch1/olsq_perrow/; docs/rq2_batch1/BATCH1_DESIGN_LOCK.md,tket version per source; row-level companion diagnostic to the SD6 aggregate,yes
AUD-10,ext_2007_15671v1_claim2,2007_15671v1,scalar-directional (composite),source-materialized,relation-level locked,7 recovered matched comparisons (sizes 10-22),source-fixed (recovered); tket version per source,Wilson (depth / SWAP / joint-dominance),SD2,docs/rq2_batch2/qaoa_olsq/; docs/rq2_batch2/BATCH2_DESIGN_LOCK.md,compact composite recovered record; decomposed into depth / SWAP / joint-dominance sub-units in the artifact,yes
