claim_id,paper_id,resolved_decision,resolution_basis,final_label_claim_card_specifiable,final_label_scalar_directional,final_label_planning_feasible,delta_166,delta_142,delta_92,delta_78,delta_8,delta_accepted_claim_count,notes
ext_2005_11011v2_claim3,2005.11011v2,accept_adjudicated,"Source sentence at line 782 unambiguously names three optimizers (MPG, Nelder-Mead, MGD), a single metric (resilience), and a directional ranking; claim-card schema fills cleanly.",true,true,false,+1,+1,0,0,0,0,"+1 to the represented and scalar counts; planning remains false because the proposed-method artifact is not public."
ext_2008_02941v2_claim2,2008.02941v2,accept_adjudicated,"Layer-1 strict reading: state-vs-ground-state is not a method/tool/algorithm/configuration/backend/baseline comparator pair; demotion of accepted_comparative_claim.",false,false,false,0,0,0,0,0,-1,"Specifiable was already false; only the accepted-claim count changes."
ext_2108_02099v2_claim3,2108.02099v2,accept_adjudicated,"Source sentence at line 1644 unambiguously names comparators (t|ket and Qiskit), metric (depth), and direction (reduction); schema fills cleanly.",true,true,false,+1,+1,0,0,0,0,"Proposed-method artifact is unavailable, so planning remains false."
ext_2110_00592v2_claim4,2110.00592v2,keep_current,"Comparator is a vague class (other algorithms) in the source; deterministic rule: ambiguous comparator remains a boundary.",false,false,false,0,0,0,0,0,0,"No count changes."
ext_2202_14025v1_legacy_claim5,2202.14025v1,accept_adjudicated,"Source sentence at line 604 names Qiskit Transpile and Pytket DefaultMapping, the CX-count-overhead metric, and an equality relation.",true,false,false,+1,0,0,0,0,0,"Equality relation; scalar_directional remains false."
ext_2202_14025v1_legacy_claim11,2202.14025v1,accept_adjudicated,"Source sentence at line 701 names PyZX and competitors and gives a two-metric comparison; a multi-objective schema is specifiable.",true,false,false,+1,0,0,0,0,0,"Multi-objective relation; scalar_directional remains false."
ext_2208_13380v2_claim2,2208.13380v2,accept_adjudicated,"Layer-1 strict reading: simulation-vs-measurement is a verification setup, not a method/tool/algorithm/configuration/backend/baseline comparator pair; demotion of accepted_comparative_claim.",false,false,false,0,0,0,0,0,-1,"Specifiable was already false; only the accepted-claim count changes."
ext_2304_03829v1_claim4,2304.03829v1,accept_adjudicated,"Source sentence at line 547 gives a numeric comparison between named ESOP configurations; schema fills cleanly.",true,true,false,+1,+1,0,0,0,0,"Missing public artifact keeps planning false."
ext_2305_03390v1_claim1,2305.03390v1,accept_adjudicated,"Source sentence at line 427 names PUBO and QUBO and compares expected value, median, and variance; a multi-objective schema is specifiable.",true,false,false,+1,0,0,0,0,0,"Multi-objective relation; scalar_directional remains false."
ext_2308_02536v1_legacy_claim1,2308.02536v1,keep_current,"The source names PPO and ALAP but the schedule-length metric is inferred from the surrounding paragraph; deterministic rule: ambiguous metric remains a boundary.",false,false,false,0,0,0,0,0,0,"No count changes."
ext_2309_01028v2_claim4,2309.01028v2,accept_adjudicated,"Source sentence at line 1054 names ESOP and TBS and gives a complexity/qubit-count tradeoff; a multi-objective schema is specifiable.",true,false,false,+1,0,0,0,0,0,"Multi-objective relation; scalar_directional remains false."
ext_2309_01028v2_claim5,2309.01028v2,accept_adjudicated,"Source sentence at line 1068 gives explicit numbers between named configurations; an associated public artifact supports planning.",true,true,true,+1,+1,+1,+1,0,0,"Adds one represented, scalar, planning, and scalar-planning record."
ext_2405_09169v3_claim4,2405.09169v3,accept_adjudicated,"The source statement is retained as an accepted scale comparison, but its smaller-prior-runs comparator is implicit; it is not claim-card specifiable under the strict rule.",false,false,false,-1,-1,0,0,0,0,"Accepted status is retained; represented and scalar labels are removed."
ext_2408_13316v2_claim2,2408.13316v2,keep_current,"Comparator is vague (hardware-aware algorithms) and language is hedged; deterministic rule: ambiguous comparison remains a boundary.",false,false,false,0,0,0,0,0,0,"No count changes."
ext_2409_15055v2_claim2,2409.15055v2,accept_adjudicated,"Source sentence at line 899 names DC-QAOA(NC) and QAOA and gives a size-dependent crossover at N=16.",true,false,false,+1,0,0,0,0,0,"Crossover/regional relation; scalar_directional remains false."
ext_2411_00518v2_claim2,2411.00518v2,accept_adjudicated,"Source sentence at line 976 names Copula-QAOA and QTG-QAOA and gives a size-dependent crossover.",true,false,false,+1,0,0,0,0,0,"Crossover/regional relation; scalar_directional remains false."
