record_id,claim_id,paper_id,source_file_key,scalar_directional_planning_record,manuscript_group,proxy_free_exact_status,auditable_design_status,barrier_scope,primary_barrier,secondary_barriers,barrier_source_file,barrier_source_column,barrier_source_value,derivation_note,adjudicated,notes,second_author_checked,second_author_check_scope,second_author_group_agreement,second_author_barrier_agreement,second_author_comment,adjudication_after_second_check
ext_2308_02536v1_legacy_claim2,ext_2308_02536v1_legacy_claim2,2308.02536v1,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;data;hyperparameters;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=relation; blocker=env/needs-build | missing_elements=artifact;data;hyperparameters;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2202_14025v1_legacy_claim6,ext_2202_14025v1_legacy_claim6,2202.14025v1,relation_schema_rq1_flags.csv,true,proxy_free_exact,true,exact,none,none,none,artifact/screening_drop_78_materialization_boundary.csv,exact_proxy_free_yes_no,yes (EX-C Tier-1 proxy-free scoped S/U/R card),screening_drop_78 exact_proxy_free_yes_no=yes; EX-C Tier-1 proxy-free scoped S/U/R card.,true,,false,not_checked,not_checked,not_checked,,not_checked
ext_2202_14025v1_legacy_claim12,ext_2202_14025v1_legacy_claim12,2202.14025v1,relation_schema_rq1_flags.csv,true,proxy_free_exact,true,exact,none,none,none,artifact/screening_drop_78_materialization_boundary.csv,exact_proxy_free_yes_no,yes (EX-C Tier-1 proxy-free scoped S/U/R card),screening_drop_78 exact_proxy_free_yes_no=yes; EX-C Tier-1 proxy-free scoped S/U/R card.,true,,false,not_checked,not_checked,not_checked,,not_checked
ext_2202_14025v1_legacy_claim22,ext_2202_14025v1_legacy_claim22,2202.14025v1,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=relation; blocker=env/needs-build | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2304_08814v2_claim5,ext_2304_08814v2_claim5,2304.08814v2,relation_schema_rq1_flags.csv,true,proxy_free_exact,true,exact,none,none,none,artifact/screening_drop_78_materialization_boundary.csv,exact_proxy_free_yes_no,yes (EX-C Tier-1 proxy-free scoped S/U/R card),screening_drop_78 exact_proxy_free_yes_no=yes; EX-C Tier-1 proxy-free scoped S/U/R card.,true,,false,not_checked,not_checked,not_checked,,not_checked
ext_2304_08814v2_claim6,ext_2304_08814v2_claim6,2304.08814v2,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=runtime_environment; blocker=environment+reporting | missing_elements=artifact;baseline;hyperparameters;resource_budget; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2304_08814v2_claim7,ext_2304_08814v2_claim7,2304.08814v2,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,relation_specific_not_in_53,only a relation-specific source-rule design is lockable; excluded from manuscript 53 (exact+source-materialized+extension),relation_specific_source_rule_only,artifact;baseline;hyperparameters;other,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=relation_specific; missing=none(clean); blocker=none(clean) | missing_elements=artifact;baseline;hyperparameters;other; tier(internal)=T3,"Relation-specific design mode; EXCLUDED from manuscript-facing 53 auditable designs (53 = exact + source-materialized + source-supported-extension only), so counted as no_design_or_boundary. 20 of 21 relation_specific land here; the 1 source-materialized SD claim is in auditable_non_exact.",true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2409_14786v3_claim2,ext_2409_14786v3_claim2,2409.14786v3,relation_schema_rq1_flags.csv,true,auditable_non_exact,false,source_supported_extension,"auditable only via source-supported extension, not an exact proxy-free source comparison",diagnostic_or_extension_not_exact_source_comparison,artifact;hyperparameters;instance_generator;optimizer;other;resource_budget,artifact/screening_drop_78_materialization_boundary.csv | artifact/external_audit/materialization/materialization_tiers_76.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | missing_elements;reason_for_tier;materialization_tier(internal),mode=source_supported_extension; missing=baseline_implementation; blocker=env/needs-build | missing_elements=artifact;hyperparameters;instance_generator;optimizer;other;resource_budget; tier(internal)=T3,In manuscript 53 auditable designs (non-exact). Registry design_type=source_supported_extension.,true,artifact_internal_tier=T3 (supporting only; not a manuscript group),true,sampled_extension,agree,agree,extension design consistent with barrier source fields,unchanged
ext_2409_14786v3_claim3,ext_2409_14786v3_claim3,2409.14786v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,verification_only,deterministic verification record; not an auditable comparative design in the 53,verification_only_not_auditable_design,env/needs-build,artifact/screening_drop_78_materialization_boundary.csv | artifact/source_grounded_claim_adjudication.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | primary_blocker_if_any;strongest_adjudicated_mode,mode=verification_only; missing=env/needs-build; blocker=env/needs-build | primary_blocker=missing_baseline_implementation; mode=verification_only,Verification-only record (not a perturbation-audit design); not in the 53.,true,outside locked 76-row census,true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
ext_2409_14786v3_claim4,ext_2409_14786v3_claim4,2409.14786v3,relation_schema_rq1_flags.csv,true,no_design_or_boundary,false,verification_only,deterministic verification record; not an auditable comparative design in the 53,verification_only_not_auditable_design,env/needs-build,artifact/screening_drop_78_materialization_boundary.csv | artifact/source_grounded_claim_adjudication.csv,evidence_mode_if_auditable;missing_or_limiting_component;blocker_type;reason_not_exact | primary_blocker_if_any;strongest_adjudicated_mode,mode=verification_only; missing=env/needs-build; blocker=env/needs-build | primary_blocker=missing_baseline_implementation; mode=verification_only,Verification-only record (not a perturbation-audit design); not in the 53.,true,outside locked 76-row census,true,targeted_boundary,agree,agree,boundary decision consistent with source evidence,unchanged
