claim_id,arxiv_id,paradigm,confidence,o1_pass,o1_reason,o2_pass,o2_reason,o3_pass,o3_reason,o4_pass,o4_reason,o5_pass,o5_reason,o6_pass,o6_reason,o7_pass,o7_reason,overall_verdict,notes,operationalizability_category,audit_eligibility_reason
ext_2308_02536v1_legacy_claim2,2308.02536v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,operationalizable,"Repo evidence sample: ['https://github.com/QuTech-Delft/qgym', 'https://github.com/quantumlib/Cirq/graphs/contributors']",audit_eligible_operationalizable,Passed O1-loose/O2-O7 and not flagged as deterministic resource-table verification-only in this refinement.
ext_2411_19388v1_claim1,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim4,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim5,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim6,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim7,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim8,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim9,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",fail,Compared objects are not both publicly identifiable from the worksheet/formalization.,fail,Direction is equality/boundary rather than a strict directional claim.,pass,Metric is numerical or directly measurable.,unclear,Compared objects are identifiable but not concrete named implementations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2411_19388v1_claim10,2411.19388v1,variational,HIGH,fail,No public code repository or archived artifact was identifiable in paper text.,unclear,Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.,pass,Both compared objects are named tools/methods or standard algorithms.,pass,Five-tuple fields are present and directional with no obvious composite metric.,unclear,"Metric may be measurable, but quantitative operational definition is not explicit.",pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,Repo evidence sample: [],not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
ext_2202_14025v1_legacy_claim1,2202.14025v1,compilation,HIGH,pass,Loose O1: paper text contains GitHub/GitLab/Zenodo/supplementary artifact link; exact pinning not required.,pass,"Metric appears computable with local software, standard simulation, or deterministic post-processing.",pass,Both compared objects are named tools/methods or standard algorithms.,fail,Metric is mixed/composite rather than a single audit metric.,pass,Metric is numerical or directly measurable.,pass,Compared objects are concrete named methods/tools/configurations.,pass,Specific problem instance or family is identifiable.,not_operationalizable,"Repo evidence sample: ['https://github.com/ArlineQ/arline_benchmarks', 'https://github.com/CQCL/pytket', 'https://github.com/Qiskit', 'https://github.com/quantumlib/Cirq']",not_operationalizable_or_borderline,Did not receive operationalizable verdict under O1-loose filter.
