claim_id,arxiv_id,failed_or_unclear_criteria
ext_2411_19388v1_claim1,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim4,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim5,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim6,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim7,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim8,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text.
ext_2411_19388v1_claim9,2411.19388v1,O1: No public code repository or archived artifact was identifiable in paper text. | O3: Compared objects are not both publicly identifiable from the worksheet/formalization. | O4: Direction is equality/boundary rather than a strict directional claim. | O6: Compared objects are identifiable but not concrete named implementations.
ext_2411_19388v1_claim10,2411.19388v1,"O1: No public code repository or archived artifact was identifiable in paper text. | O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim1,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim2,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim3,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim4,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim5,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim7,2202.14025v1,"O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation. | O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim8,2202.14025v1,O2: Hardware/noise language appears in the claim context; simulator-only computability needs confirmation.
ext_2202_14025v1_legacy_claim11,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
ext_2202_14025v1_legacy_claim13,2202.14025v1,O4: Metric is mixed/composite rather than a single audit metric.
ext_2202_14025v1_legacy_claim14,2202.14025v1,O3: At least one compared baseline is a vague class rather than a publicly identifiable implementation. | O4: Metric is mixed/composite rather than a single audit metric. | O6: Compared objects include vague buckets such as other/conventional/prior/classical methods.
ext_2202_14025v1_legacy_claim15,2202.14025v1,"O5: Metric may be measurable, but quantitative operational definition is not explicit."
