arxiv_id,title,published_date,authors,screening_decision,exclusion_reason,screening_confidence,screening_notes
2412.17101v2,E-LoQ: Enhanced Locking for Quantum Circuit IP Protection,2024-12-22 17:29:24+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2410.09326v2,QOPS: A Compiler Framework for Quantum Circuit Simulation Acceleration with Profile Guided Optimizations,2024-10-12 01:54:09+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2407.01010v2,Multi-target quantum compilation algorithm,2024-07-01 06:47:24+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2405.05875v2,A Genetic Approach to Minimising Gate and Qubit Teleportations for Multi-Processor Quantum Circuit Distribution,2024-05-09 16:03:41+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2402.13352v3,KetGPT - Dataset Augmentation of Quantum Circuits using Transformers,2024-02-20 20:02:21+00:00,redacted_for_anonymous_review,exclude,out_of_scope_paradigm,HIGH,"The paper falls outside the scoped paradigms for this field-study pass, even if it is quantum-software-adjacent."
2402.00478v2,Lightcone Bounds for Quantum Circuit Mapping via Uncomplexity,2024-02-01 10:32:05+00:00,redacted_for_anonymous_review,exclude,algorithm_complexity_only,MEDIUM,The abstract is primarily theoretical/proof-oriented and does not expose an empirical comparative benchmark strongly enough for inclusion.
2311.15123v3,Atomique: A Quantum Compiler for Reconfigurable Neutral Atom Arrays,2023-11-25 21:57:41+00:00,redacted_for_anonymous_review,include,,MEDIUM,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
2311.12772v2,The T-Complexity Costs of Error Correction for Control Flow in Quantum Computation,2023-11-21 18:32:05+00:00,redacted_for_anonymous_review,exclude,error_correction_only,HIGH,Paper centers error-correction or fault-tolerance concerns rather than the scoped compilation or variational-optimization comparisons.
2311.08742v1,sQueeze: Accelerated Quantum Pulse Schedules,2023-11-15 07:22:34+00:00,redacted_for_anonymous_review,exclude,pulse_level_only,HIGH,"Abstract centers pulse-level or direct-control optimization, which is outside the scoped compilation and variational-optimization paradigms."
2308.02536v1,qgym: A Gym for Training and Benchmarking RL-Based Quantum Compilation,2023-08-01 10:07:20+00:00,redacted_for_anonymous_review,include,,HIGH,Abstract indicates an in-scope compilation/transpilation or software-stack comparison on quantitative resource or performance metrics. Kept for full-text claim extraction.
