unit_id,source_claim_id_or_ids,relation_type,P,B_A,B_B,M,R,S_scope,E_env,active_axes,fixed_axes,inadmissible_axes,evidence_object,formal_checker,optional_diagnostic_checker,checker_input_file_or_record,checker_output,current_recorded_outcome,checker_matches_recorded_outcome_yes_no,if_mismatch_explanation,counts_as_exact_card_yes_no,counts_in_2_4_2_yes_no,counts_as_staged_or_diagnostic_yes_no,counts_as_boundary_yes_no,notes
EX-C1,ext_2202_14025v1_legacy_claim12,scalar_directional,compiler/transpilation benchmarking,candidate compiler,baseline compiler,compilation runtime,"candidate compiler faster, A<B",benchmark family,L1 opt-level x timing (4x4x5),"L1, scope",L2/L3,L2/L3 metric-irrelevant,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Sustained (80/80),Sustained (80/80),yes,,yes,yes,no,no,
EX-C2,ext_2411_00518v2_claim1,scalar_directional,QAOA optimization,QAOA method,baseline,approximation ratio,"QAOA approximation ratio higher, A>B",QAOA instances,ALGO copula depth (16x5),"ALGO, scope",L1/L2/L3,aggregate-trace card (no per-cell log),matched cells (80; aggregate trace),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Sustained (80/80),Sustained (80/80),yes,,yes,yes,no,no,
EX-C3,ext_2304_08814v2_claim5,scalar_directional,compilation,TKET,Qiskit,CNOT gate count,"TKET lower CNOT than Qiskit, A<B",PauliOpt family,L1 opt-level x seed (4x4x5),"L1, scope",L2/L3,L2/L3 source-confined,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Unresolved (62/80),Unresolved (62/80),yes,,yes,yes,no,no,
EX-C4,ext_2411_00518v2_claim3,scalar_directional,QAOA optimization,QAOA method,baseline,probability value,"QAOA probability value higher, A>B",QAOA instances,ALGO optimizer x copula depth (5x8x2),"ALGO, scope",L1/L2/L3,aggregate-trace card (no per-cell log),matched cells (80; aggregate trace),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Unresolved (45/80),Unresolved (45/80),yes,,yes,yes,no,no,
EX-C5,ext_2409_08844v2_claim4,scalar_directional,compilation,TKET,Qiskit,two-qubit gate depth,"TKET lower two-qubit-gate depth than Qiskit, A<B",Benchpress family,L1 opt-level x seed (4x4x5),"L1, scope",L2/L3,L2/L3 source-confined,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Unresolved (44/80),Unresolved (44/80),yes,,yes,yes,no,no,
EX-C6,ext_2202_14025v1_legacy_claim6,scalar_directional,compilation,Qiskit,Pytket,CX-depth overhead,"Qiskit CX-depth overhead vs Pytket, A>B",Benchpress family,scope (joint seed) x L1 (4x20),"scope, L1",L2/L3,seed joined with scope,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Unresolved (34/80),Unresolved (34/80),yes,,yes,yes,no,no,
EX-C7,ext_2409_08844v2_claim3,scalar_directional,transpilation resource benchmarking,Qiskit,Tket,two-qubit gate count,"Qiskit lower two-qubit gate count than Tket, A<B",4 connectivity-stress circuits,L1 opt-level x seed (4x4x5),"L1, scope",L2/L3,other comparators; runtime metric; full suite; live hardware,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Reversed within audited scope (0/80),"Reversed (0/80; 62 contra, 18 tie)",yes,,yes,yes,no,no,
EX-C8,ext_2409_08844v2_claim1,scalar_directional,benchmark construction,Cirq,baseline,pre-compilation construction time,"Cirq lower construction time than baseline, A<B",Benchpress family,timing repetitions (4x20),"scope, timing",L1/L2/L3,tie-free reversal scope,matched cells (80),scalar_directional_wilson,,paper/output/figures/section5/external_forest_data.csv,Reversed within audited scope (0/80),Reversed (0/80),yes,,yes,yes,no,no,
SD1,ext_2007_15671v1_claim4 (Table 3),scalar_directional,OLSQ Table-3 instances,OLSQ,tket,per-instance CX count,"OLSQ lower CX count than tket, per instance, A<B",22 OLSQ table rows,source-confined,(source-confined),tket version per source; construction/exec fixed,no environment sweep (source-confined),source-table rows (22),scalar_directional_wilson,,docs/rq2_batch1/olsq_perrow/summary.csv,Unresolved (16/22),"Unresolved (16/22, 6 ties)",yes,,no,no,yes,no,
SD2,ext_2007_15671v1_claim2 (QAOA-OLSQ),scalar_directional,QAOA-OLSQ recovered comparisons,QAOA-OLSQ,tket,depth and SWAP,"QAOA-OLSQ lower depth and lower SWAP than tket, A<B",7 recovered comparisons,source-confined,(source-confined),tket version per source,small N; one comparison/size,matched cells (2 units x 7),scalar_directional_wilson,,docs/rq2_batch2/qaoa_olsq/summary.csv,Unresolved (7/7),Unresolved (7/7 each),yes,,no,no,yes,no,
SD3,ext_2405_20173v2_claim2 (Qrisp),scalar_directional,declared MaxCut family (extension),Qrisp QAOA,Qiskit-Library QAOA,circuit depth,"Qrisp QAOA lower circuit depth than Qiskit-Library, A<B",declared MaxCut family,ALGO p; SCOPE size,"ALGO p, scope size",depth definition; tool versions,not the source's exact unreleased instances,matched cells (45),scalar_directional_wilson,,docs/rq2_batch1/qrisp/summary.csv,Unresolved (45/45),Unresolved (45/45),yes,,no,no,yes,no,
SD4,"ext_2011_12191v4_claim1,claim5 (CNOT-OPT)",scalar_directional,recovered Clifford+T circuits x architecture,CNOT-OPT (recovered Results),current Qiskit/TKET baseline,post-routing CNOT count,"CNOT-OPT lower post-routing CNOT than baseline, A<B",recovered circuits x arch,arch x comparator,"SCOPE circuit, arch, comparator",CNOT-OPT Results; current Qiskit 2.3.1 opt3 / pytket,"current baseline, not source 2020 baseline",matched cells (240),scalar_directional_wilson (cell statistic) -> boundary-limited reclassification,sensitivity (SD7),docs/rq2_batch1/cnotopt/summary.csv,cell Reversed within audited scope (0/240); unit outcome = Diagnostic (boundary-limited extension),Diagnostic (0/240; boundary-limited extension),yes,"cell-level Wilson reads Reversed within audited scope at 0/240; intentionally reclassified to Diagnostic because the comparator is a current baseline, not the source's 2020 baseline (boundary-limited extension, not a formal source-preserving S/U/R).",no,no,yes,no,
SD5,"ext_2304_08814v2_claim7 (PauliOpt C9a,C9b)",aggregate_mean_curve_crossover,5 IBM devices x gadget-size sweep,PauliOpt (ps_best/sgs_best),TKET,per-device mean-CNOT curve (crossover),candidate strictly below for large gadgets (crossover),5 IBM devices x 2 cards,device + gadget size,"device, gadget size",recovered per-device crossover table,derived crossover predicate; thin large-gadget tail,per-device curves (10 device-card rows),crossover_regional,,artifact/external_audit/road_b/exc9_pauliopt/per_device_crossover_table.csv,Concordant (10/10 device-card rows; 5/5 per card),"Concordant (5/5 devices, both cards)",yes,,no,no,yes,no,
SD6,ext_2007_15671v1_claim4 (OLSQ geomean),aggregate_geomean,OLSQ benchmark table (22 instances),OLSQ,tket,geometric-mean CX-count ratio,OLSQ aggregate geometric-mean CX-count reduction vs tket (ratio < 1),OLSQ benchmark table,source-confined (reported table),(source-confined),tket version per source; reconstructed zero-exclusion convention,exclusion convention not source-exposed (reconstructed),source rows + geomean rule,aggregate_relation (geomean over source rows),row-level Wilson 16/22 (= SD1),artifact/external_audit/road_b/olsq_claim4/reduction_calculation_table.csv,Preserved (geomean cost ratio=0.478 < 1 over 14 both-positive rows),Preserved (geomean ratio < 1),yes,"formal aggregate verdict Preserved is reproduced from the source rows; exact geomean statistic is convention-dependent (manuscript headline 0.36 over strict-improvement rows; source-reported 69.2% reduction = geomean reduction over 16 rows). Row-level Wilson 16/22 is a diagnostic projection only, not the aggregate verdict.",no,no,yes,no,
SD7,ext_2011_12191v4_claim1/claim5 (CNOT-OPT sensitivity),scalar_directional,CNOT-OPT circuits x optimization policy,CNOT-OPT,Qiskit baseline (opt-level sweep),post-routing CNOT (sensitivity),sensitivity of SD4 verdict to baseline optimization policy,CNOT-OPT circuits,Qiskit opt-level (opt0..opt3) x architecture,optimization policy (sensitivity axis),CNOT-OPT Results; comparator=Qiskit,"sweep over policies, not one locked design",sensitivity sweep (per opt-level cells),scalar_directional_wilson per opt-level cell (sensitivity sweep) -> Diagnostic,per opt-level Wilson cells,docs/rq2_batch2/cnotopt_sensitivity/,Diagnostic (opt0 preserves 5/50 & 5/70; opt>=1 0/N): baseline-policy dependence of SD4,Diagnostic (opt0 ~7-10% preserved; opt1+ 0%),yes,,no,no,yes,no,
BD1,ext_2211_07685v3_claim1/claim2 (SQUANDER),complete_table_or_series,SQUANDER depth/compression table,SQUANDER,Qiskit,circuit depth/compression ratio,SQUANDER lower circuit depth than Qiskit across a table,SQUANDER depth table (intended),cannot lock,n/a,n/a,source-table values inconsistent; OCR-unreliable,boundary record,boundary,,artifact/external_audit/road_b/boundary_cases/road_b_boundary_summary.csv,"No verdict (source-table values internally inconsistent (467x vs 479.5x), OCR-unreliable)",No verdict,yes,,no,no,no,yes,
BD2,ext_2304_08814v2_claim6 (EX-C10 runtime),runtime_ratio,PauliOpt compiler runtime,PauliOpt,Qiskit/TKET,compiler runtime ratio,PauliOpt compiler runtime lower than Qiskit/TKET (runtime ratio),PauliOpt runtime (intended),cannot lock,n/a,n/a,non-quiesced host; no source runtime statistic,boundary record,boundary,,artifact/external_audit/road_b/boundary_cases/road_b_boundary_summary.csv,No verdict (non-quiesced host; no exact source runtime statistic/threshold/pinned variant),No verdict,yes,,no,no,no,yes,
