item_id,claim_id,paper_id,stratum,source_location,source_excerpt,P,B_A,B_B,M,R,code_claim_card_specifiable,code_scalar_directional,code_relation_type,code_planning_feasible,code_auditable_design,code_design_type,code_materialization_boundary,code_T1_exact_defensible
S001,ext_2202_14025v1_legacy_claim12,2202.14025v1,exact_T1,line 725,"by each compilation stage, see Fig. 12(b). We found that Pytket with the backend implemented in C++ showed the best runtime performance. Qiskit, PyZX and Cirq fully implemented in Python have comparable execution times.",,,,,,,,,,,,,
S002,ext_2202_14025v1_legacy_claim6,2202.14025v1,exact_T1,line 605,"Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit) outperforms DefaultMapping (Pytket) for densely connected graphs with node degrees k ≳ 8.",,,,,,,,,,,,,
S003,ext_2304_08814v2_claim5,2304.08814v2,exact_T1,,,,,,,,,,,,,,,
S004,ext_2409_08844v2_claim1,2409.08844v2,exact_T1,,,,,,,,,,,,,,,
S005,ext_2409_08844v2_claim3,2409.08844v2,exact_T1,line 614,"emerge. First, we see that, as a whole, Qiskit outperforms BQSKit, Staq, and Tket in terms of 2Q gate count; a trend clearly seen in the BQSKit and Tket data. This is",,,,,,,,,,,,,
S006,ext_2409_08844v2_claim4,2409.08844v2,exact_T1,,,,,,,,,,,,,,,
S007,ext_2411_00518v2_claim1,2411.00518v2,exact_T1,line 96,conduct numerical experiments for our method on the same benchmark instances as for the Copula-QAOA and demonstrate that our method is able to provide higher approximation,,,,,,,,,,,,,
S008,ext_2411_00518v2_claim3,2411.00518v2,exact_T1,line 949,"noted, however, that it achieves significantly better probability values between five and ten items compared to the QTGbased AAM-QAOA, with the global maxima being around",,,,,,,,,,,,,
S009,ext_2005_11011v2_claim3,2005.11011v2,non_specifiable,line 782,"deviation. In this scenario, Nelder-Mead is the least resilient to this noise, while MPG is the most, and MGD follows.",VQA optimizer resilience to gate rotation error,MPG optimizer,Nelder-Mead optimizer,noise resilience,A > B,,,,,,,,
S010,ext_2008_02941v2_claim2,2008.02941v2,non_specifiable,line 654,state. We see that the average HVA state is more entangled than the ground states of interest.,HVA entanglement characterization,average HVA state,ground states of interest,entanglement,A > B,,,,,,,,
S011,ext_2108_02099v2_claim3,2108.02099v2,non_specifiable,line 1644,"1.6x and 2.9x compared to t |ket⟩ and Qiskit, respectively. Figure 13 shows the compilation results of 3-layer QAOA",QAOA compilation depth reduction,proposed method (Quanto),t|ket> and Qiskit,circuit depth,A < B,,,,,,,,
S012,ext_2202_14025v1_legacy_claim11,2202.14025v1,non_specifiable,line 701,"(c) For random phase polynomial [ CX, Rz] circuits, PyZX outperforms competitors by a large margin in terms of CX count reduction, although by the expense of increasing of single-qubit gate count. This behaviour is",random phase-polynomial circuit compression,PyZX,Qiskit/Pytket/Cirq competitors,CX count reduction (single-qubit cost),A > B with single-qubit cost tradeoff (multi-objective),,,,,,,,
S013,ext_2202_14025v1_legacy_claim5,2202.14025v1,non_specifiable,line 604,"routing/mapping subroutines is very similar for a wide range of values of k according to CX count overhead metric. Both algorithms show somewhat diﬀerent performance according to CX depth overhead, where Transpile (Qiskit)",routing/mapping on random k-regular graphs,Qiskit Transpile,Pytket DefaultMapping,CX count overhead,A ~= B,,,,,,,,
S014,ext_2304_03829v1_claim4,2304.03829v1,non_specifiable,line 547,"illustrating that the circuit complexity is signiﬁcantly higher (on average, 6,981.6) when ESOP is applied after RTT preprocessing than when ESOP is applied without RTT preprocessing. This again suggests that function",oracle synthesis ESOP with vs without RTT preprocessing,ESOP without RTT preprocessing,ESOP with RTT preprocessing,average circuit complexity,A < B,,,,,,,,
S015,ext_2305_03390v1_claim1,2305.03390v1,non_specifiable,line 427,"consistently outperforms the QUBO approach for higher order functions, as the expected value, the median and the overall variance are significantly lower for PUBO. This becomes increasingly apparent",continuous optimization with QAOA at higher-order objective functions,PUBO formulation,QUBO formulation,"expected value, median, and overall variance (multi-metric)",A > B (multi-objective with simulator-only context),,,,,,,,
S016,ext_2308_02536v1_legacy_claim1,2308.02536v1,non_specifiable,line 362,scheduling task even a vanilla PPO agent can learn policies which can outperform the standard priority-based ALAP approach. We demonstrate this finding in a proof of concept.,quantum circuit scheduling with commutation-aware compilation,PPO scheduling policy,priority-based ALAP,schedule length,A < B,,,,,,,,
S017,ext_2309_01028v2_claim4,2309.01028v2,non_specifiable,line 1054,"First, the ESOP synthesis and TBS methods provide different advantages: while ESOP nearly always produces circuits with lower complexity, TBS generally produces circuits with fewer qubits than ESOP synthesis. (See Figure",automated subcircuit synthesis,ESOP synthesis,TBS synthesis,circuit complexity vs qubit count (multi-metric tradeoff),A < B on complexity; A > B on qubits (multi-objective),,,,,,,,
S018,ext_2309_01028v2_claim5,2309.01028v2,non_specifiable,line 1068,"higher average complexity than ESOP synthesis without (6.981.6 versus 3, 769.5) further supports the conclusion that ESOP synthesis is able to substantially reduce cost by utilizing incompletely-specified functions.",automated subcircuit synthesis with vs without preprocessing,ESOP without preprocessing,ESOP with preprocessing,average circuit complexity,A < B,,,,,,,,
S019,ext_2409_15055v2_claim2,2409.15055v2,non_specifiable,line 899,"than QAOA without cd-terms. We have found that for MaxCut problem with N < 16, QAOA is more advantageous than DC-QAOA(NC), while for larger problems withN > 16, DCQAOA(NC) is superior. This refinement of the comparison",MaxCut by graph size,DC-QAOA(NC) at N>16 / QAOA at N<16,QAOA at N>16 / DC-QAOA(NC) at N<16,resource-adjusted performance,crossover at N=16,,,,,,,,
S020,ext_2411_00518v2_claim2,2411.00518v2,non_specifiable,,,knapsack QAOA across problem sizes,Copula-QAOA at small sizes / QTG-QAOA at large sizes,QTG-QAOA at small sizes / Copula-QAOA at large sizes,performance/efficacy,size-dependent crossover,,,,,,,,
S021,ext_2110_00592v2_claim1,2110.00592v2,boundary_or_no_design,line 801,"commutation rules, Nuwa uses approximately 34% fewer Swap gates than tket on average, and 66% fewer than",,,,,,,,,,,,,
S022,ext_2110_00592v2_claim2,2110.00592v2,boundary_or_no_design,,,,,,,,,,,,,,,
S023,ext_2110_00592v2_claim4,2110.00592v2,boundary_or_no_design,line 736,"Nuwa outperforms other algorithms by a signiﬁcant margin, both with and without applying commutation",Nuwa routing/mapping,Nuwa,other algorithms (vague class),Swap gate count (implicit),A < B,,,,,,,,
S024,ext_2206_09938v2_claim2,2206.09938v2,boundary_or_no_design,line 524,"Additionally, we also show in Figure 3 that this gain is not won at the cost of total two-qubit gates – the latter remains",,,,,,,,,,,,,
S025,ext_2208_13380v2_claim2,2208.13380v2,boundary_or_no_design,line 1064,"Secondly, the simulated trajectories are consistently slower than the measured trajectories; e.g. at ξ = 0.01 Φ0, the",nonstandard two-qubit Cartan trajectory simulation,measured Cartan trajectories,simulated Cartan trajectories,trajectory speed,A > B,,,,,,,,
S026,ext_2303_02830v1_claim1,2303.02830v1,boundary_or_no_design,,,,,,,,,,,,,,,
S027,ext_2405_09169v3_claim4,2405.09169v3,boundary_or_no_design,line 17,"on multiple QPUs (IonQ, Quantinuum, IBM) with up to Nq = 109 qubits, p = 100, and circuits requiring 21,200 CNOT gates. Finally, we present a noise model based on two-qubit gate counts",LR-QAOA hardware demonstration on QPUs,LR-QAOA at 109 qubits / p=100,(implicit) smaller prior QPU runs,qubits/layers/CNOT count attained,scale demonstration,,,,,,,,
S028,ext_2408_13316v2_claim2,2408.13316v2,boundary_or_no_design,line 119,• We demonstrate that QuCLEAR is effective in optimizing logical circuits and may outperform hardware-aware algorithms when mapping to devices with limited connectivity,logical-circuit optimization under limited connectivity,QuCLEAR,hardware-aware algorithms,optimization quality,A > B (hedged),,,,,,,,
S029,ext_2409_14786v3_claim3,2409.14786v3,boundary_or_no_design,line 1533,Parity QAOA circuit has a depth 5 times smaller than the vanilla QAOA circuit. For the complete graph with,hypergraph QAOA depth (small problems),Parity QAOA,vanilla QAOA,CNOT depth,A < B,,,,,,,,
S030,ext_2409_14786v3_claim4,2409.14786v3,boundary_or_no_design,line 1540,"comprises about 3 .1 times fewer and the circuit for the 4-regular graph N = 8 has 2 .5 times fewer gates. However, the Parity QAOA circuit for the complete graph",hypergraph QAOA CNOT count (small problems),Parity QAOA,vanilla QAOA,CNOT gate count,A < B,,,,,,,,
S031,ext_2007_15671v1_claim3,2007.15671v1,non_scalar_specifiable,line 116,"show that TB-OLSQ is nearly optimal and is able to increase fidelity by 1.30x in geomean, compared to TriQ [15], a leading academic",,,,,,,,,,,,,
S032,ext_2007_15671v1_claim4,2007.15671v1,non_scalar_specifiable,,,,,,,,,,,,,,,
S033,ext_2007_15671v1_claim5,2007.15671v1,non_scalar_specifiable,line 889,"some larger programs. In some cases, TriQ has slightly better fidelity results by leveraging larger depths. This is expected since TB-OLSQ-Fidelity optimizes fidelity with the fewest transitions",,,,,,,,,,,,,
S034,ext_2009_13545v3_claim1,2009.13545v3,non_scalar_specifiable,line 13,"an electronic H 4 Hamiltonian and a single-transmon quantum simulation. In all cases, the metaVQE is able to learn the shape of the energy functional and, in some cases, resulted in improved accuracy in comparison to individual VQE optimization. The meta-VQE algorithm introduces both",,,,,,,,,,,,,
S035,ext_2009_13545v3_claim3,2009.13545v3,non_scalar_specifiable,line 532,"standard VQE. Since we use ﬁve training points, optnl-meta-VQE becomes cheaper when more than 20 test points are required. Note that those numbers should",,,,,,,,,,,,,
S036,ext_2101_08526v7_claim1,2101.08526v7,non_scalar_specifiable,,,PDS variational quantum solver,PDS(K)-VQS,conventional VQE and original static PDS,accuracy and efficiency,A > B,,,,,,,,
